cbs_region,jurisdiction,precincts_reported,precinct_pct_reported,county_total_turnout,county_total_early,county_total_absentee,county_total_election_day,timestamp,estimate_eday_eday_lagged,estimate_eday_party_demo,estimate_eday_demo,estimate_absentee_absentee_lagged,estimate_absentee_party_demo,estimate_absentee_demo,estimate_early_early_lagged,estimate_early_party_demo,estimate_early_demo,race_name,party,state
1,BEAUFORT,0,0,0,0,0,0,2024-03-06T01:05:35Z,1.6176296413483726e-16,7.112366251504909e-17,-1.1184629611360464e-15,10.09099179594433,10.884455387604437,12.074924294911504,78.49984146832206,81.28739104668843,78.49984146832206,President-Democrat,Democrat,NC
1,BERTIE,0,0,0,0,0,0,2024-03-06T01:05:35Z,1.5395670849294163e-17,-2.432949675057472e-16,-9.963817965141786e-17,5.561019794608737,3.507947194089418,2.003232354639261,21.386699103100355,42.82841248112563,21.386699103100355,President-Democrat,Democrat,NC
1,BLADEN,0,0,0,0,0,0,2024-03-06T01:05:35Z,-1.2739375526704677e-16,7.589415207398531e-19,1.1062114765869602e-15,8.102996942234688,7.931239792944464,8.873907584287469,54.70641608718914,60.77632843614044,54.70641608718914,President-Democrat,Democrat,NC
1,BRUNSWICK,26,0.9629629629629629,227,0,227,0,2024-03-06T01:05:35Z,NA,-2.1033522146218786e-17,2.0686577451023425e-15,26.741892032007144,48.28630950907769,40.88504746218125,250.182389481868,303.9503838730404,250.182389481868,President-Democrat,Democrat,NC
1,CAMDEN,0,0,0,0,0,0,2024-03-06T01:05:35Z,-2.42861286636753e-17,2.0166160408230382e-17,-1.2880321809127793e-16,1.2378835785279323,1.599940603524655,1.783410398233738,12.533939580820208,13.65647390477684,12.533939580820208,President-Democrat,Democrat,NC
1,CARTERET,0,0,0,0,0,0,2024-03-06T01:05:35Z,-0.0087125677687158,-1.2002118049414534e-16,-8.591218014775137e-16,17.51500231291426,18.668450308631797,15.211525440359479,94.89557794876205,126.05777795899186,94.89557794876205,President-Democrat,Democrat,NC
1,CHOWAN,0,0,0,0,0,0,2024-03-06T01:05:35Z,-1.1492543028346347e-17,-1.214306433183765e-17,-5.793976409762536e-16,6.0996580476154305,3.030617703908645,3.3437695297488084,24.818325406265163,29.873362540935776,24.818325406265163,President-Democrat,Democrat,NC
1,COLUMBUS,15,0.7142857142857143,46,0,46,0,2024-03-06T01:05:35Z,-2.489267730944929e-4,8.847089727481716e-17,-7.246807320893112e-16,8.91392787603287,15.40687068901972,15.541236101880587,91.6158573960366,98.62153456228873,91.6158573960366,President-Democrat,Democrat,NC
1,CRAVEN,18,0.8571428571428571,88,0,88,0,2024-03-06T01:05:35Z,2.638948087829718e-16,-1.029558382992235e-15,8.890457814381136e-17,28.781749895634785,24.488702457389405,27.497642661272078,156.0338578282822,154.76959967920521,156.0338578282822,President-Democrat,Democrat,NC
1,CUMBERLAND,63,0.8181818181818182,188,0,188,0,2024-03-06T01:05:35Z,-0.05755670489931054,3.6245420727276656e-15,1.4983674023749671e-16,71.5075521646963,89.78550924238517,116.43647298152865,390.10636994297397,293.0667986193776,390.10636994297397,President-Democrat,Democrat,NC
1,CURRITUCK,0,0,0,0,0,0,2024-03-06T01:05:35Z,-0.020450437271150836,-4.336808689942018e-19,2.200930410145574e-17,6.839198554746196,5.815781092347468,4.8922824566471155,31.79986045023792,38.8728486872218,31.79986045023792,President-Democrat,Democrat,NC
1,DARE,1,0.0625,237,0,0,237,2024-03-06T01:05:35Z,67.1685098406748,67.16850984067479,67.16850984067479,13.376514161898013,15.51433470122767,11.302275749063933,74.8120358729361,109.13365319638174,74.8120358729361,President-Democrat,Democrat,NC
1,DUPLIN,0,0,0,0,0,0,2024-03-06T01:05:35Z,7.383416794626285e-17,1.229485263598562e-16,-1.3162214373974024e-16,7.152884474926395,12.985877187430376,14.875922684445072,69.60468348097763,54.036067060288374,69.60468348097763,President-Democrat,Democrat,NC
1,EDGECOMBE,0,0,0,0,0,0,2024-03-06T01:05:35Z,1.0717338475019211e-16,5.000340419503146e-16,4.327267710824145e-15,10.732673072914709,8.408891434931443,6.178780839899278,56.28606420824818,111.27433420061782,56.28606420824818,President-Democrat,Democrat,NC
1,GATES,0,0,0,0,0,0,2024-03-06T01:05:35Z,-5.204170427930421e-18,-6.245004513516506e-17,2.671474153004283e-16,2.9289845940907346,3.0306386085255,2.9622094176857403,20.741799197297762,24.428084380282687,20.741799197297762,President-Democrat,Democrat,NC
1,GREENE,9,0.9,63,0,63,0,2024-03-06T01:05:35Z,-4.607859233063394e-18,-2.0708261494473135e-16,-2.8189256484623115e-16,3.7218412004234245,4.506832010874755,4.575936177176441,27.616070668387763,31.546151892125266,27.616070668387763,President-Democrat,Democrat,NC
1,HALIFAX,0,0,0,0,0,0,2024-03-06T01:05:35Z,-0.011254494325338624,-9.378348791999613e-16,2.16233281280509e-15,13.909092941595485,13.772240015341975,10.3886488237436,66.1967759159543,91.55636002850373,66.1967759159543,President-Democrat,Democrat,NC
1,HARNETT,13,1,2295,2189,106,0,2024-03-06T01:05:35Z,-9.128982292327947e-17,-6.765421556309548e-16,-7.979727989493313e-16,26.241627899314256,34.57048855824149,39.480274722402115,168.80932231066924,122.55078630338221,168.80932231066924,President-Democrat,Democrat,NC
1,HERTFORD,10,0.7692307692307693,241,241,0,0,2024-03-06T01:05:35Z,9.324138683375338e-17,-9.107298248878237e-17,3.400058012914542e-16,7.731154503282823,3.9014938663450818,1.5659370123030885,20.521603896983226,46.500000566754764,20.521603896983226,President-Democrat,Democrat,NC
1,HYDE,0,0,0,0,0,0,2024-03-06T01:05:35Z,-1.5612511283791264e-17,-1.474514954580286e-17,-1.8995222061946038e-16,1.0439499738749203,1.8081989992829262,1.4913054285554592,10.754838725883438,15.417582124546142,10.754838725883438,President-Democrat,Democrat,NC
1,JONES,5,0.7142857142857143,383,0,0,383,2024-03-06T01:05:35Z,147.04355560603585,147.04355560603582,147.04355560603585,2.158159450569081,1.9799320423789395,2.5837297241586814,16.737098365754235,17.87435848347993,16.737098365754235,President-Democrat,Democrat,NC
1,LENOIR,0,0,0,0,0,0,2024-03-06T01:05:35Z,3.1387652893455353e-17,-3.3610267347050637e-16,6.366435156834882e-16,9.564821088609461,11.432011234857754,14.472613048007501,81.55375370719474,89.3036038562405,81.55375370719474,President-Democrat,Democrat,NC
1,MARTIN,0,0,0,0,0,0,2024-03-06T01:05:35Z,0.0017157777083062601,1.457167719820518e-16,1.5265566588595902e-16,4.134168394169495,5.066720223013468,4.822053804369439,39.55890679662721,56.32053040160052,39.55890679662721,President-Democrat,Democrat,NC
1,NASH,0,0,0,0,0,0,2024-03-06T01:05:35Z,7.773729576721067e-17,-9.794682426234047e-16,-3.2634485391813683e-15,20.157294083735117,20.164756876716964,23.81635336190899,141.76091709328395,146.08469089946985,141.76091709328395,President-Democrat,Democrat,NC
